0,313599.687161309,4161623.88831687,0
1,313599.603394838,4161623.94294872,0
2,313599.519700598,4161623.99768752,0
3,313599.436150821,4161624.0526402,0
4,313599.352817739,4161624.10791373,0
5,313599.269773582,4161624.16361503,0
6,313599.187071421,4161624.21982274,0
7,313599.104648845,4161624.27644477,0
8,313599.022400395,4161624.33332543,0
9,313598.940220539,4161624.39030891,0
10,313598.858003746,4161624.44723938,0
11,313598.77564543,4161624.50396243,0
12,313598.693092694,4161624.56039977,0
13,313598.610369935,4161624.61658694,0
14,313598.527507882,4161624.67256881,0
15,313598.444537266,4161624.72839026,0
16,313598.361488813,4161624.78409615,0
17,313598.278393091,4161624.83973112,0
18,313598.195266724,4161624.8953194,0
19,313598.112101883,4161624.95084949,0
20,313598.028888263,4161625.00630625,0
21,313597.945615558,4161625.06167452,0
22,313597.862273464,4161625.11693917,0
23,313597.77886084,4161625.1720987,0
24,313597.695427399,4161625.22722722,0
25,313597.612040392,4161625.28242494,0
26,313597.528767086,4161625.33779207,0
27,313597.445674748,4161625.39342885,0
28,313597.36282071,4161625.44942069,0
29,313597.280159517,4161625.50569972,0
30,313597.197584977,4161625.56210753,0
31,313597.114990111,4161625.61848453,0
32,313597.032267939,4161625.6746711,0
33,313596.949311534,4161625.73050773,0
34,313596.8660531,4161625.78589308,0
35,313596.782533479,4161625.84088735,0
36,313596.698812205,4161625.89557854,0
37,313596.614948816,4161625.95005463,0
38,313596.531002844,4161626.00440361,0
39,313596.447024083,4161626.05869941,0
40,313596.363032005,4161626.11297211,0
41,313596.279040195,4161626.16724331,0
42,313596.195062235,4161626.22153461,0
43,313596.111111709,4161626.27586758,0
44,313596.027202203,4161626.33026383,0
45,313595.943345719,4161626.38474243,0
46,313595.859542439,4161626.43930367,0
47,313595.775787187,4161626.49393933,0
48,313595.69207476,4161626.54864113,0
49,313595.608399956,4161626.60340082,0
50,313595.52475757,4161626.65821013,0
51,313595.441142401,4161626.71306078,0
52,313595.357548564,4161626.76794356,0
53,313595.273968013,4161626.82284627,0
54,313595.190392281,4161626.87775609,0
55,313595.106812896,4161626.93266023,0
56,313595.023221391,4161626.98754589,0
57,313594.939609295,4161627.04240026,0
58,313594.855968139,4161627.09721054,0
59,313594.772294089,4161627.15197096,0
60,313594.688602589,4161627.20670495,0
61,313594.604914092,4161627.26144353,0
62,313594.521249054,4161627.31621775,0
63,313594.437627926,4161627.37105862,0
64,313594.354071164,4161627.42599717,0
65,313594.27059922,4161627.48106443,0
66,313594.187232916,4161627.53629194,0
67,313594.104002175,4161627.59172394,0
68,313594.020946413,4161627.64741789,0
69,313593.938105492,4161627.70343187,0
70,313593.855519272,4161627.75982397,0
71,313593.773227054,4161627.81665146,0
72,313593.691195996,4161627.87386427,0
73,313593.609250635,4161627.93120023,0
74,313593.527198766,4161627.98837227,0
75,313593.444848182,4161628.04509331,0
76,313593.362006678,4161628.10107627,0
77,313593.278520919,4161628.15609127,0
78,313593.194422931,4161628.2101812,0
79,313593.109799925,4161628.26347017,0
80,313593.024739124,4161628.31608227,0
81,313592.939327751,4161628.36814163,0
82,313592.853653026,4161628.41977236,0
83,313592.767801572,4161628.47109782,0
84,313592.681835389,4161628.52221084,0
85,313592.595783764,4161628.57316364,0
86,313592.509673721,4161628.62400565,0
