0,313599.687710628,4161623.88932395,0
1,313599.237515314,4161624.18311668,0
2,313598.784634457,4161624.49293876,0
3,313598.331021178,4161624.79768729,0
4,313597.916409355,4161625.08262992,0
5,313597.476467948,4161625.36355186,0
6,313596.967007502,4161625.68088889,0
7,313596.510098324,4161625.97597099,0
8,313596.052395686,4161626.28641105,0
9,313595.563443047,4161626.58128715,0
10,313594.971340997,4161626.92866111,0
11,313594.50454412,4161627.20827079,0
12,313593.961331233,4161627.53901267,0
13,313593.480923519,4161627.83354545,0
14,313592.976651054,4161628.14236808,0
15,313592.522305355,4161628.41899467,0
16,313591.942288261,4161628.77120567,0
17,313591.43276678,4161629.08066154,0
18,313590.875759942,4161629.4194982,0
19,313590.411709652,4161629.70189262,0
20,313589.921048027,4161630.00081992,0
21,313589.402798519,4161630.31650138,0
22,313588.889004572,4161630.62916923,0
23,313588.353665217,4161630.9544332,0
24,313587.918423517,4161631.21899772,0
25,313587.366238455,4161631.55487419,0
26,313586.920254574,4161631.82612968,0
27,313586.471402033,4161632.09898734,0
28,313585.866360526,4161632.46686149,0
29,313585.383999691,4161632.76004386,0
30,313584.911526541,4161633.04719138,0
31,313584.406826835,4161633.3537786,0
32,313583.956387382,4161633.6274221,0
33,313583.488247732,4161633.91183067,0
34,313582.994229183,4161634.21197867,0
35,313582.490628102,4161634.51790977,0
36,313581.967984063,4161634.83528877,0
37,313581.440518241,4161635.15580726,0
38,313580.941006524,4161635.45922828,0
39,313580.429592951,4161635.77000403,0
40,313579.903469899,4161636.08966804,0
41,313579.38381658,4161636.40531516,0
42,313578.843472341,4161636.73352409,0
43,313578.306546077,4161637.05977607,0
44,313577.764859064,4161637.38875938,0
45,313577.217617848,4161637.72105766,0
46,313576.625698907,4161638.08038306,0
47,313576.06313787,4161638.4219091,0
48,313575.50442205,4161638.76118828,0
49,313574.967984064,4161639.08695197,0
50,313574.42477117,4161639.41684318,0
51,313573.892849786,4161639.7398603,0
52,313573.205960135,4161640.15700889,0
53,313572.686062673,4161640.47279334,0
54,313572.182156425,4161640.77879691,0
55,313571.679409842,4161641.08409095,0
56,313571.037930352,4161641.47364402,0
57,313570.559780939,4161641.76404167,0
58,313569.943997242,4161642.13806892,0
59,313569.392910819,4161642.47282387,0
60,313568.773037772,4161642.84940315,0
61,313568.328457694,4161643.11949135,0
62,313567.892666678,4161643.3842733,0
63,313567.367459155,4161643.70342612,0
64,313566.509304861,4161644.22491431,0
65,313566.027005058,4161644.51790977,0
66,313565.517239432,4161644.82758308,0
67,313564.985134937,4161645.15084053,0
68,313564.443692068,4161645.47994209,0
69,313563.890469408,4161645.81607032,0
70,313563.457974291,4161646.07879234,0
71,313562.951931811,4161646.38615394,0
72,313562.484768726,4161646.66993309,0
73,313562.019070484,4161646.95277763,0
74,313561.405911308,4161647.32535148,0
75,313560.900967456,4161647.63197685,0
76,313560.402798514,4161647.93433357,0
77,313559.868985038,4161648.25833488,0
78,313559.335537771,4161648.5820806,0
79,313558.830105641,4161648.88861061,0
80,313558.29092107,4161649.21557594,0
81,313557.755581714,4161649.53998542,0
82,313557.210659842,4161649.87025428,0
83,313556.649929862,4161650.21020103,0
84,313556.089138846,4161650.55005622,0
85,313555.525112963,4161650.89191413,0
86,313554.95394597,4161651.23814369,0
87,313554.236172535,4161651.67346549,0
88,313553.706570483,4161651.994972,0
89,313553.048184253,4161652.39480186,0
90,313552.502774098,4161652.72614265,0
91,313551.996304371,4161653.03405357,0
92,313551.327847337,4161653.44054771,0
93,313550.834866385,4161653.74041725,0
94,313550.321560717,4161654.0526464,0
95,313549.827847338,4161654.35292411,0
96,313549.363613942,4161654.63520027,0
97,313548.882840013,4161654.92738319,0
98,313548.440884449,4161655.19592262,0
99,313547.967373707,4161655.4836042,0
100,313547.521145678,4161655.75449348,0
101,313547.073635916,4161656.02578712,0
102,313546.640286305,4161656.28832222,0
103,313545.94234929,4161656.71091819,0
104,313545.404507497,4161657.03671623,0
105,313544.851956225,4161657.3712461,0
106,313544.331082201,4161657.6866529,0
107,313543.803250167,4161658.00640846,0
108,313543.297512862,4161658.31296898,0
109,313542.808926439,4161658.60913825,0
110,313542.258999683,4161658.94287849,0
111,313541.59524236,4161659.34526039,0
112,313541.044400072,4161659.6792791,0
113,313540.464199878,4161660.0310514,0
114,313540.010830735,4161660.30580879,0
115,313539.568997242,4161660.57328392,0
116,313539.107754565,4161660.8527906,0
117,313538.650601246,4161661.13025642,0
118,313538.146878099,4161661.43559623,0
119,313537.670010426,4161661.72438026,0
120,313537.167752121,4161662.02889992,0
121,313536.659634447,4161662.33758903,0
122,313536.130947925,4161662.65933967,0
123,313535.617764326,4161662.9709127,0
124,313535.070767259,4161663.302593,0
125,313534.552090504,4161663.61765648,0
126,313533.981778,4161663.96412636,0
127,313533.475796556,4161664.27176262,0
128,313532.968716476,4161664.57973457,0
129,313532.472805831,4161664.88069511,0
130,313531.983792158,4161665.17725349,0
131,313531.485073897,4161665.47955299,0
132,313530.989712572,4161665.77977729,0
133,313530.519253584,4161666.06565071,0
134,313530.037075848,4161666.36720252,0
135,313529.57626042,4161666.65706611,0
136,313529.074307293,4161666.96667457,0
137,313528.584744308,4161667.2567308,0
138,313528.073269699,4161667.54666878,0
139,313527.565945479,4161667.82059265,0
140,313527.043606611,4161668.09120346,0
