0,250302.414350907,3688262.63288668,0,0.937445088128492,0
1,250302.473654821,3688262.7135192,0,0.935061056445172,-0.047687019535184
2,250302.53332707,3688262.79384707,0,0.927905291166352,-0.095444752979198
3,250302.593735989,3688262.87356562,0,0.915968399235644,-0.143311509777518
4,250302.655249915,3688262.95237022,0,0.899240146016238,-0.191260269432279
5,250302.718237182,3688263.0299562,0,0.877717657398775,-0.239165272932673
6,250302.782941901,3688263.10612214,0,0.856647570695886,-0.173916294501496
7,250302.848988242,3688263.18118184,0,0.842965679499686,-0.099742914223252
8,250302.915807373,3688263.25560947,0,0.836694364389874,-0.025702768040691
9,250302.982830403,3688263.32987926,0,0.837823025491455,0.048275764938656
10,250303.049488438,3688263.40446545,0,0.846351341975215,0.122306397553775
11,250303.115222848,3688263.47983367,0,0.861333712866925,0.151124041086593
12,250303.179828471,3688263.55615363,0,0.874771554971664,0.117623924695702
13,250303.243534548,3688263.63323135,0,0.884857730438705,0.084099467085003
14,250303.306596994,3688263.71085053,0,0.891591828703005,0.050585473732153
15,250303.369271722,3688263.78879486,0,0.894975408200631,0.017088403318778
16,250303.431814645,3688263.86684803,0,0.895009727401803,-0.016402317514682
17,250303.494469662,3688263.94480397,0,0.892415106819156,-0.027962711534285
18,250303.557335895,3688264.02257991,0,0.889613875805263,-0.028061665206811
19,250303.620416577,3688264.10017476,0,0.886802822766362,-0.028159149230555
20,250303.683713227,3688264.17758888,0,0.883982095504324,-0.028255146907665
21,250303.747227366,3688264.25482265,0,0.881151843478064,-0.028349641796547
22,250303.810960233,3688264.33187663,0,0.878344725332399,-0.026453639004246
23,250303.874895509,3688264.40876514,0,0.875998972490488,-0.020461503946944
24,250303.93898918,3688264.4855241,0,0.874252405517496,-0.014469932309437
25,250304.003194795,3688264.56219137,0,0.873104968216179,-0.008478889851853
26,250304.067465904,3688264.63880478,0,0.872556616140692,-0.002488186545368
27,250304.131756092,3688264.71540214,0,0.87260075155683,0.002928172868629
28,250304.196024899,3688264.79201659,0,0.873067750240721,0.006411814018758
29,250304.260244102,3688264.86867168,0,0.873883116885126,0.009895530127086
30,250304.324386987,3688264.94538977,0,0.875046857947815,0.013379295484714
31,250304.388426838,3688265.0221932,0,0.876558975619875,0.016863048352695
32,250304.452336948,3688265.09910434,0,0.87841802468012,0.020127427371346
33,250304.516093613,3688265.17614289,0,0.880521424284598,0.021940564069214
34,250304.579681298,3688265.25332139,0,0.882806136213736,0.02375366163898
35,250304.643085836,3688265.33065115,0,0.885272152517501,0.025566635581321
36,250304.706293062,3688265.4081435,0,0.887919455639807,0.027379377978103
37,250304.76928881,3688265.48580976,0,0.890748015987877,0.029191755719
38,250304.832061947,3688265.56365876,0,0.893527448849157,0.022001917804174
39,250304.894667415,3688265.64164491,0,0.894938805894667,0.006225440556617
40,250304.957224231,3688265.71966992,0,0.894772548299007,-0.009550712027801
41,250305.019854045,3688265.79763329,0,0.89302860556599,-0.025328578552302
42,250305.082678509,3688265.87543452,0,0.889706729161359,-0.041109484846697
43,250305.145819273,3688265.95297315,0,0.884806622717149,-0.056892865123403
44,250305.209397969,3688266.03014868,0,0.878338550648599,-0.070105965280288
45,250305.27348472,3688266.10690332,0,0.872131744083688,-0.054029680250971
46,250305.337987667,3688266.18331347,0,0.867532616604459,-0.037953195385149
47,250305.402783183,3688266.25948181,0,0.864541008242633,-0.021879515363601
48,250305.467747643,3688266.33551107,0,0.863156616074714,-0.005808702556996
49,250305.532757423,3688266.41150394,0,0.863379226083521,0.010260875804068
50,250305.597688895,3688266.48756313,0,0.86520882038594,0.026331302186759
51,250305.662418466,3688266.56379132,0,0.868633354221556,0.039961810128076
52,250305.726864074,3688266.64025662,0,0.872211693259873,0.031604671915161
53,250305.791067077,3688266.71692449,0,0.874954250222586,0.02324636017233
54,250305.855091656,3688266.79374137,0,0.876860955062656,0.014887725238819
55,250305.919001991,3688266.8706537,0,0.877931796949532,0.006529130279196
56,250305.982862261,3688266.94760795,0,0.878166784307044,-0.001829373585498
57,250306.046736646,3688267.02455056,0,0.877565922368767,-0.01018787208209
58,250306.110689326,3688267.10142798,0,0.876129208252844,-0.018546412594394
59,250306.174774947,3688267.17819461,0,0.874357756950931,-0.013413985814894
60,250306.238963161,3688267.25487562,0,0.873506431427071,-0.003612537593677
61,250306.303179001,3688267.33153336,0,0.873635249391053,0.006188912863794
62,250306.367347103,3688267.40823048,0,0.874744220065952,0.015990539359518
63,250306.431392105,3688267.48502966,0,0.87683336349077,0.025792337326843
64,250306.495250777,3688267.5619835,0,0.879169044051311,0.012848546783196
65,250306.559012618,3688267.63901773,0,0.879181002698807,-0.012609371719495
66,250306.622871489,3688267.71597143,0,0.876647167643011,-0.038067270432026
67,250306.68702327,3688267.792682,0,0.871567623526396,-0.06352267505041
68,250306.751663844,3688267.86898683,0,0.863943031159293,-0.088965712779596
69,250306.816981444,3688267.94472963,0,0.854513708958065,-0.077698122393046
70,250306.882871318,3688268.01999552,0,0.850029148224378,-0.012000128640908
71,250306.948850559,3688268.09518125,0,0.852113532328548,0.053693855860399
72,250307.014411233,3688268.17070419,0,0.860770219452612,0.119454527957468
73,250307.079045406,3688268.24698172,0,0.876006872214923,0.185283055850736
74,250307.142248079,3688268.32442879,0,0.897361534650615,0.21344788846262
75,250307.203883121,3688268.40315787,0,0.914358086031364,0.126497562843277
76,250307.26453823,3688268.48268781,0,0.922665642682378,0.039675553647902
